"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","ammonia borane Molar Composition 
[%]","ammonia borane Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,403.8740337577718,0.0,0.0,403.8740337577718,2344.4033100435595,1271.005276959248,219.69016343970853
0.99,402.80612580629406,0.01,228.85288430960938,402.80612580629406,2344.4343827541747,1271.0400747444983,219.70186425346859
0.98,401.7330944255531,0.02,247.1789850638663,401.7330944255531,2344.4660969094048,1271.0755420452551,219.71374512673898
0.97,400.6548469520786,0.03,259.32653412281735,400.6548469520786,2344.498364415485,1271.1116534074724,219.72587116766644
0.96,399.5712881246439,0.04,268.69561543324824,399.5712881246439,2344.531288347405,1271.1484633737912,219.7382525727498
0.95,398.482319983227,0.05,276.44248754246996,398.482319983227,2344.5648518336366,1271.1859769998275,219.75083087810944
0.94,397.3878417629264,0.06,283.1117432727999,397.3878417629264,2344.599034464168,1271.2241983241188,219.76369582075716
0.93,396.28774978252306,0.07,289.0068010382493,396.28774978252306,2344.633928974189,1271.2631789787456,219.77677508006957
0.92,395.18193732735597,0.08,294.31541474349666,395.18193732735597,2344.6695074998383,1271.3029208881576,219.79013389904645
0.91,394.07029452615734,0.09,299.1624877607725,394.07029452615734,2344.7058160675792,1271.3434572813508,219.80376306280706
0.9,392.9527082214642,0.1,303.6356479954633,392.9527082214642,2344.742857552169,1271.3848039698908,219.8176876743492
0.89,391.829061833196,0.11,307.79892997315994,391.829061833196,2344.7806694203223,1271.4269917626214,219.83185866301875
0.88,390.6992352149563,0.12,311.7006629765348,390.6992352149563,2344.819245513487,1271.4700339077333,219.84633994078237
0.87,389.56310450258246,0.13,315.3782924284112,389.56310450258246,2344.858652894295,1271.5139748092565,219.86114801476793
0.86,388.42054195443103,0.14,318.86146861833043,388.42054195443103,2344.898914545506,1271.558841186258,219.8762487505382
0.85,387.271415782844,0.15,322.17410345895314,387.271415782844,2344.9400090063855,1271.6046419582844,219.891670046769
0.84,386.11558997620006,0.16,325.3357851773263,386.11558997620006,2344.9820264600235,1271.6514333166772,219.90740505666284
0.83,384.9529241109047,0.17,328.3627785787205,384.9529241109047,2345.0249338971903,1271.6992209088864,219.92349987952807
0.82,383.7832731526206,0.18,331.2687492870053,383.7832731526206,2345.0688486053946,1271.7480738672994,219.93995765257037
0.81,382.6064872459839,0.19,334.06529908836353,382.6064872459839,2345.113724795115,1271.797994226303,219.9567752249328
0.8,381.4224114919853,0.2,336.7623689042229,381.4224114919853,2345.1595880254667,1271.8490146929662,219.97399344678874
0.79,380.23088571212986,0.21,339.36854704727045,380.23088571212986,2345.2065350284092,1271.9011986339808,219.99158297157172
0.78,379.0317441984096,0.22,341.89130843504734,379.0317441984096,2345.2545765267564,1271.954574595524,220.00957740779594
0.77,377.8248154480418,0.23,344.3372026346955,377.8248154480418,2345.303754380481,1272.009185201402,220.027970427653
0.76,376.60992188183167,0.24,346.71200341539736,376.60992188183167,2345.3541019335466,1272.0650706891804,220.04683724849343
0.75,375.3868795449185,0.25,349.02082895117945,375.3868795449185,2345.405643508767,1272.12226875375,220.0661106219482
0.74,374.1554977885505,0.26,351.2682393689939,374.1554977885505,2345.458472558088,1272.1808472377463,220.08586989767193
0.73,372.91557893141055,0.27,353.4583166128692,372.91557893141055,2345.512554480763,1272.240821928052,220.10613029296616
0.72,371.66691789887716,0.28,355.59473036179713,371.66691789887716,2345.5680408009534,1272.302287745914,220.12687121555774
0.71,370.4093018384541,0.29,357.680792844632,370.4093018384541,2345.6249143409873,1272.365270757802,220.14812815070493
0.7,369.1425097094321,0.3,359.7195047381783,369.1425097094321,2345.683264143488,1272.4298430122178,220.16990286725454
0.69,367.8663118446589,0.31,361.7135938461073,367.8663118446589,2345.743087715446,1272.4960400893312,220.19227194530708
0.68,366.5804694820868,0.32,363.6655478891228,366.5804694820868,2345.8045269882555,1272.563959733722,220.2152023135474
0.67,365.2847342635307,0.33,365.5776424579387,365.5776424579387,2345.867591238326,1272.6336462796264,220.23873247963758
0.66,363.9788476978155,0.34,367.45196496685054,367.45196496685054,2345.9323931245367,1272.7051893459245,220.262867292111
0.65,362.66254058519553,0.35,369.29043528034373,369.29043528034373,2345.998910508554,1272.778624485991,220.2876916508334
0.64,361.33553239960844,0.36,371.0948235562337,371.0948235562337,2346.067341604494,1272.8540817157523,220.3131517646179
0.63,359.9975306249588,0.37,372.86676574749157,372.86676574749157,2346.137668404705,1272.9316032642148,220.3393572334183
0.62,358.64823004121706,0.38,374.60777712467967,374.60777712467967,2346.2100119064607,1273.011292181493,220.36625144316156
0.61,357.2873119556606,0.39,376.31926411696566,376.31926411696566,2346.2844327109965,1273.0932291992908,220.3939303862734
0.6,355.9144433740593,0.4,378.0025347183709,378.0025347183709,2346.361048680917,1273.1775221190976,220.42242590390148
0.59,354.5292761060256,0.41,379.6588076644941,379.6588076644941,2346.439993869995,1273.2642888770918,220.45171215608318
0.58,353.1314457980772,0.42,381.2892205513187,381.2892205513187,2346.5212974009737,1273.3536071188157,220.48190446278352
