"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","lithium borohydride Molar Composition 
[%]","lithium borohydride Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,403.7069363900579,0.0,0.0,403.7069363900579,2344.4033100435536,1271.0597683397202,219.68933577574404
0.99,402.63947027091575,0.01,285.0003284080081,402.63947027091575,2344.354562456741,1270.9963016619254,219.69502514418085
0.98,401.56688284225936,0.02,311.75326435197064,401.56688284225936,2344.3048189730134,1270.9855914214447,219.70143174889944
0.97,400.4890814789567,0.03,329.86633631409774,400.4890814789567,2344.254144434728,1270.9754562963008,219.70856673074564
0.96,399.4059709591939,0.04,344.04909910155357,399.4059709591939,2344.2024990417626,1270.9651290808322,219.7161903041611
0.95,398.3174533634787,0.05,355.9189565585431,398.3174533634787,2344.1498564055796,1270.9544648704104,219.72423741720223
0.94,397.22342796859976,0.06,366.2429576343277,397.22342796859976,2344.0961875951084,1270.9437078994658,219.73266634938145
0.93,396.1237911362346,0.07,375.4507892141911,396.1237911362346,2344.0414221369524,1270.9327248331458,219.74142422264194
0.92,395.0184361958742,0.08,383.8095480047581,395.0184361958742,2343.9855644927616,1270.9215244752952,219.75053823521554
0.91,393.9072533217082,0.09,391.4976167661683,393.9072533217082,2343.9285773160022,1270.910098509917,219.75999829310615
0.9,392.79012940309127,0.1,398.6405753105757,398.6405753105757,2343.8704201656365,1270.8984376229848,219.76973134705128
0.89,391.666947908176,0.11,405.3304759415687,405.3304759415687,2343.8110882402757,1270.8865476467222,219.77982316975965
0.88,390.5375887402749,0.12,411.6369891810323,411.6369891810323,2343.7504566394205,1270.8743847573462,219.79017761669246
0.87,389.40192808647265,0.13,417.61423444047705,417.61423444047705,2343.6885913371875,1270.8619849067313,219.80089443258316
0.86,388.2598382579771,0.14,423.30516662890835,423.30516662890835,2343.6253989383263,1270.8493180874277,219.81187962537325
0.85,387.11118752165555,0.15,428.7445037206542,428.7445037206542,2343.5608209417383,1270.8363691952843,219.82322188851597
0.84,385.95583992215956,0.16,433.9607446138259,433.9607446138259,2343.494833550484,1270.8231379716847,219.83486381436458
0.83,384.79365509399304,0.17,438.977598645293,438.977598645293,2343.4274085420393,1270.8096227367146,219.84680931291348
0.82,383.62448806282475,0.18,443.8150225222778,443.8150225222778,2343.3584740897427,1270.794691241959,219.85911561241556
0.81,382.44818903529125,0.19,448.4899881218471,448.4899881218471,2343.2879534084836,1270.780549058969,219.8717254228942
0.8,381.26460317647064,0.2,453.017061384128,453.017061384128,2343.215842362681,1270.7660923137612,219.88472524604174
0.79,380.07357037413965,0.21,457.4088458246321,457.4088458246321,2343.14209237459,1270.7513128103624,219.89803317048498
0.78,378.8749249888499,0.22,461.67632721677865,461.67632721677865,2343.066571113865,1270.7361680662461,219.9117404445631
0.77,377.66849558877533,0.23,465.8291449262037,465.8291449262037,2342.9892958756127,1270.7206784484076,219.92577351005423
0.76,376.4541046681923,0.24,469.87580799375655,469.87580799375655,2342.9101605449086,1270.7048136031763,219.94020596504922
0.75,375.23156834834896,0.25,473.82386903608955,473.82386903608955,2342.8290636125366,1270.6876692403378,219.95502553493378
0.74,374.00069605937165,0.26,477.6800655457159,477.6800655457159,2342.746054972155,1270.6709893730633,219.97024730935226
0.73,372.76129020173113,0.27,481.45043571330854,481.45043571330854,2342.6609413574092,1270.6538769287579,219.98587361721394
0.72,371.513145785653,0.28,485.1404141341807,485.1404141341807,2342.573703160131,1270.6363404375936,220.00192353883898
0.71,370.2560500467058,0.29,488.7549114823439,488.7549114823439,2342.484233978286,1270.618353160181,220.01840699402428
