"tetrabutylammonium borohydride Molar Composition 
[%]","tetrabutylammonium borohydride Liquidus Temperature 
[K]","tetrabutylammonium chloride Molar Composition 
[%]","tetrabutylammonium chloride Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,403.8740337577718,0.0,0.0,403.8740337577718,2344.403310043549,1271.0813260178506,219.69012780223738
0.99,402.80612580629406,0.01,198.33155783638398,402.80612580629406,2344.098803472951,1270.8792914502028,219.66170899541677
0.98,401.7330944255531,0.02,210.03589634006792,401.7330944255531,2343.7937231859696,1270.7548745185652,219.63322886720687
0.97,400.6548469520786,0.03,217.54578950753947,400.6548469520786,2343.488213426362,1270.6267903264543,219.6046740716547
0.96,399.5712881246439,0.04,223.2083115830254,399.5712881246439,2343.1822384165207,1270.4998699101047,219.57609396858317
0.95,398.482319983227,0.05,227.80769005610807,398.482319983227,2342.875793842435,1270.3730243818593,219.54746924731657
0.94,397.3878417629264,0.06,231.70877079796242,397.3878417629264,2342.5688362641395,1270.246373238153,219.51882485223564
0.93,396.28774978252306,0.07,235.1128555069306,396.28774978252306,2342.2614689861553,1270.1178323622123,219.49010161009232
0.92,395.18193732735597,0.08,238.1434968670887,395.18193732735597,2341.9535544286778,1269.9902887830976,219.46136494437056
0.91,394.07029452615734,0.09,240.88231025722075,394.07029452615734,2341.6451920619447,1269.862569790812,219.43254218988776
0.9,392.9527082214642,0.1,243.38619772347207,392.9527082214642,2341.3363383645287,1269.73465730075,219.403696096827
0.89,391.829061833196,0.11,245.69650786010402,391.829061833196,2341.026988970127,1269.606549537697,219.3748037611217
0.88,390.6992352149563,0.12,247.84428890987263,390.6992352149563,2340.717139503289,1269.4782447281373,219.34586649562945
0.87,389.56310450258246,0.13,249.8534842508007,389.56310450258246,2340.406825020627,1269.349757493244,219.3169055172272
0.86,388.42054195443103,0.14,251.74297059423859,388.42054195443103,2340.096041267206,1269.2210861101596,219.28785900890887
0.85,387.271415782844,0.15,253.52790973924152,387.271415782844,2339.784744445584,1269.0922124182734,219.25878698270856
0.84,386.11558997620006,0.16,255.22067486459613,386.11558997620006,2339.4729276681383,1268.9625230918466,219.229667427635
0.83,384.9529241109047,0.17,256.8315031747417,384.9529241109047,2339.1606703895177,1268.833194167978,219.20050597757182
0.82,383.7832731526206,0.18,258.36896689228166,383.7832731526206,2338.847886943524,1268.7036529158108,219.1712975047317
0.81,382.6064872459839,0.19,259.84032032413654,382.6064872459839,2338.534612609699,1268.573849109922,219.1420455509884
