"tetrabutylammonium chloride Molar Composition 
[%]","tetrabutylammonium chloride Liquidus Temperature 
[K]","ammonia borane Molar Composition 
[%]","ammonia borane Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,314.9278077625393,0.0,0.0,314.9278077625393,2311.3979757494462,1257.4130023421965,216.64453664088262
0.99,314.52427219820515,0.01,228.85288430960938,314.52427219820515,2311.4635012597823,1257.4070302541827,216.65765592514802
0.98,314.1176883486443,0.02,247.1789850638663,314.1176883486443,2311.530198241799,1257.4634218902486,216.67128193406143
0.97,313.7080003484975,0.03,259.32653412281735,313.7080003484975,2311.598179774429,1257.5118581132363,216.68557344558798
0.96,313.295150713217,0.04,268.69561543324824,313.295150713217,2311.6674170101064,1257.5658375540502,216.70033123692602
0.95,312.8790802745948,0.05,276.44248754246996,312.8790802745948,2311.737910071759,1257.6188747650074,216.71554825659788
0.94,312.4597281130111,0.06,283.1117432727999,312.4597281130111,2311.809824805796,1257.6746266928376,216.73118130063696
0.93,312.0370314862013,0.07,289.0068010382493,312.0370314862013,2311.8831281974713,1257.7314549294695,216.74725035936328
0.92,311.61092575431934,0.08,294.31541474349666,311.61092575431934,2311.9578781522373,1257.7905046680537,216.76373088482308
0.91,311.1813443010671,0.09,299.1624877607725,311.1813443010671,2312.0341282801337,1257.8489333333123,216.78064678023037
0.9,310.7482184506323,0.1,303.6356479954633,310.7482184506323,2312.111890601234,1257.9089272706453,216.79797927358595
0.89,310.31147738016705,0.11,307.79892997315994,310.31147738016705,2312.1912184258654,1257.9702844234287,216.81573526207202
0.88,309.87104802751116,0.12,311.7006629765348,311.7006629765348,2312.2721637738905,1258.032949229841,216.83392176228745
0.87,309.426854993847,0.13,315.3782924284112,315.3782924284112,2312.3547773065816,1258.096922927666,216.85254637159505
0.86,308.97882044094314,0.14,318.86146861833043,318.86146861833043,2312.4391519930523,1258.1622472299512,216.87162167613263
0.85,308.5268639826213,0.15,322.17410345895314,322.17410345895314,2312.525248095824,1258.228918684664,216.89114796585105
0.84,308.07090257004745,0.16,325.3357851773263,325.3357851773263,2312.6132430114044,1258.2970278958264,216.91114751577322
0.83,307.610850370419,0.17,328.3627785787205,328.3627785787205,2312.703093727473,1258.3665767242614,216.93162171476476
0.82,307.1466186385816,0.18,331.2687492870053,331.2687492870053,2312.7948867420514,1258.437622007928,216.95258520012757
0.81,306.67811558107263,0.19,334.06529908836353,334.06529908836353,2312.8887067540295,1258.510221022756,216.97405409370634
0.8,306.2052462120439,0.2,336.7623689042229,336.7623689042229,2312.9846365622984,1258.584431344379,216.99604152095648
0.79,305.72791220047026,0.21,339.36854704727045,339.36854704727045,2313.0827131089413,1258.6602926713063,217.019111493582
0.78,305.2460117079993,0.22,341.89130843504734,341.89130843504734,2313.1830150104643,1258.7377554814836,217.04217199670995
0.77,304.75943921674053,0.23,344.3372026346955,344.3372026346955,2313.2856186350987,1258.8170868481743,217.0657975800125
0.76,304.2680853462289,0.24,346.71200341539736,346.71200341539736,2313.3906418733745,1258.8982619932804,217.0900069540726
0.75,303.7718366587308,0.25,349.02082895117945,349.02082895117945,2313.498112326263,1258.9813215042577,217.11481474133856
0.74,303.2705754519821,0.26,351.2682393689939,351.2682393689939,2313.60818666884,1259.0663607128488,217.14024472295708
0.73,302.764179538365,0.27,353.4583166128692,353.4583166128692,2313.7208870174854,1259.1534207280945,217.1663125913917
0.72,302.2525220094368,0.28,355.59473036179713,355.59473036179713,2313.8363203636018,1259.2425792886763,217.19304034806567
0.71,301.7354709846196,0.29,357.680792844632,357.680792844632,2313.954634586593,1259.3339326784883,217.2204535001879
0.7,301.2128893427452,0.3,359.7195047381783,359.7195047381783,2314.0759303197233,1259.427559343644,217.24857527702113
0.69,300.68463443502185,0.31,361.7135938461073,361.7135938461073,2314.2002606356073,1259.5235198493258,217.2774265979052
0.68,300.15055777784664,0.32,363.6655478891228,363.6655478891228,2314.327851035115,1259.6219480956445,217.30664058765367
0.67,299.61050472372716,0.33,365.5776424579387,365.5776424579387,2314.4587028573023,1259.7228871968475,217.33757443503717
0.66,299.06431410840025,0.34,367.45196496685054,367.45196496685054,2314.593033563724,1259.8264719689082,217.3693498326718
0.65,298.5118178720352,0.35,369.29043528034373,369.29043528034373,2314.7309239552924,1259.9327829360132,217.4020052717037
0.64,297.9528406521854,0.36,371.0948235562337,371.0948235562337,2314.8725824739217,1260.041955993163,217.43561408850343
0.63,297.38719934590324,0.37,372.86676574749157,372.86676574749157,2315.0181243192133,1260.1540910328854,217.4701917128252
0.62,296.8147026381501,0.38,374.60777712467967,374.60777712467967,2315.1677034819013,1260.2693068394183,217.50579293691624
0.61,296.23515049331434,0.39,376.31926411696566,376.31926411696566,2315.3215567343555,1260.3877595743054,217.5424107053809
0.6,295.6483336062952,0.4,378.0025347183709,378.0025347183709,2315.4797821546913,1260.5095510240035,217.5801371930798
0.59,295.0540328091993,0.41,379.6588076644941,379.6588076644941,2315.642604047136,1260.6348388012188,217.61900058149263
0.58,294.4520184292408,0.42,381.2892205513187,381.2892205513187,2315.8102399117356,1260.7637813910362,217.6590503580927
0.57,293.84204959291037,0.43,382.89483704026384,382.89483704026384,2315.9828555757977,1260.896519772255,217.70033464122966
0.56,293.2238734708857,0.44,384.47665327111145,384.47665327111145,2316.160786410729,1261.0332695656946,217.7429108005118
0.55,292.59722445747417,0.45,386.03560358586174,386.03560358586174,2316.3441820035564,1261.1741737906434,217.78683381779015
0.54,291.9618232776059,0.46,387.57256565118377,387.57256565118377,2316.5333160172972,1261.3194318833696,217.83216360914355
0.53,291.3173760135014,0.47,389.0883650543135,389.0883650543135,2316.728496988733,1261.4704242913238,217.87898078954274
