"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,352.15,0.0,0.0,352.15,2127.055688648642,1204.330087950392,207.24815319296798
0.99,350.81451082881495,0.01,162.20096933658837,350.81451082881495,2125.3031669892557,1203.8796428894145,207.16641913311693
0.98,349.4757080765191,0.02,178.32218520416288,349.4757080765191,2123.5356251626195,1203.4252422376226,207.08398124887364
0.97,348.1335101353437,0.03,189.32974960207324,348.1335101353437,2121.7528753237116,1202.9668359248165,207.00083031704827
0.96,346.7878332002814,0.04,198.0016436738385,346.7878332002814,2119.954791819704,1202.5044013816598,206.91696222205906
0.95,345.43859118371245,0.05,205.295306211525,345.43859118371245,2118.141083077633,1202.0378425329527,206.83236302669908
0.94,344.08569562578964,0.06,211.66592319619605,344.08569562578964,2116.311650021882,1201.567148824415,206.74702158535447
0.93,342.7290556003253,0.07,217.36897688784575,342.7290556003253,2114.466227153245,1201.092237230047,206.66093225069142
0.92,341.3685776159007,0.08,222.56353317116356,341.3685776159007,2112.6046437811247,1200.6130668164787,206.57408454743825
0.91,340.00416551190256,0.09,227.35597254253443,340.00416551190256,2110.726660295108,1200.1295668679418,206.48646607396168
0.9,338.635720349166,0.1,231.82127681756864,338.635720349166,2108.8321523839045,1199.6424631670861,206.3980673193578
0.89,337.2631402948811,0.11,236.01446853700907,337.2631402948811,2106.920766862025,1199.1501353892086,206.3088786617305
0.88,335.88632050139387,0.12,239.97723263390407,335.88632050139387,2104.9923732001985,1198.65331783547,206.2188902710144
0.87,334.5051529785029,0.13,243.7419784016196,334.5051529785029,2103.0467507326507,1198.1519503261386,206.12809146489346
0.86,333.119526458825,0.14,247.33445032790686,333.119526458825,2101.0836751007246,1197.6459713971967,206.0364711047871
0.85,331.7293262557663,0.15,250.77547192559945,331.7293262557663,2099.10288493498,1197.1353039655933,205.94401564230301
0.84,330.3344341136013,0.16,254.0821485764927,330.3344341136013,2097.1041814931887,1196.6198991814938,205.85071604190793
0.83,328.93472804912,0.17,257.2687202513992,328.93472804912,2095.08729556427,1196.0996775489402,205.75655829946186
0.82,327.5300821842623,0.18,260.3471804493451,327.5300821842623,2093.0520541181345,1195.574602885019,205.66153546506072
0.81,326.120366569108,0.19,263.32773477118377,326.120366569108,2090.9981464492753,1195.0445784604826,205.5656306462541
0.8,324.70544699454007,0.2,266.2191468655334,324.70544699454007,2088.925324409011,1194.5095359187765,205.46883156838308
0.79,323.28518479384206,0.21,269.02900361488435,323.28518479384206,2086.8334028993304,1193.9694356850832,205.37113064666602
0.78,321.8594366324237,0.22,271.763921335168,321.8594366324237,2084.722058200502,1193.4241770373708,205.27251022173928
0.77,320.42805428480483,0.23,274.4297081756961,320.42805428480483,2082.591062987915,1192.8737028942198,205.17295979235814
0.76,318.9908843979055,0.24,277.0314935103299,318.9908843979055,2080.4401520217066,1192.317940693042,205.07246616491938
0.75,317.5477682396106,0.25,279.5738321162111,317.5477682396106,2078.2690551925743,1191.7568157582823,204.9710157923522
0.74,316.0985414314812,0.26,282.0607888586917,316.0985414314812,2076.077463939605,1191.1902359144624,204.86859280773987
0.73,314.6430336643836,0.27,284.4960081352494,314.6430336643836,2073.8651326471313,1190.6181387380439,204.76518540694823
0.72,313.1810683956936,0.28,286.8827712811383,313.1810683956936,2071.6317770266273,1190.0404451992713,204.66077942729746
0.71,311.71246252660626,0.29,289.2240443767783,311.71246252660626,2069.377107815975,1189.4570747664652,204.55536036346803
0.7,310.23702605794307,0.3,291.52251833569096,310.23702605794307,2067.1008306751282,1188.8679446268386,204.44891336181573
0.69,308.7545617226933,0.31,293.7806427339774,308.7545617226933,2064.8026119157907,1188.2729572102257,204.34142106506334
