"Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,284.2,0.0,0.0,284.2,2288.6526322520376,1271.9500366651039,218.9257078331429
0.99,283.89115766528704,0.01,172.03770981367222,283.89115766528704,2289.4723308219263,1271.8623885224627,218.91407401119278
0.98,283.57986057395664,0.02,186.85904295383708,283.57986057395664,2290.2921771443494,1271.774676864713,218.90243194220503
0.97,283.2660631056852,0.03,196.77564745623067,283.2660631056852,2291.1121076661693,1271.6868725616923,218.89078262684436
0.96,282.94971830695005,0.04,204.47489306099624,282.94971830695005,2291.9321148660356,1271.5989718653839,218.87912302853283
0.95,282.63077783763765,0.05,210.8747907345989,282.63077783763765,2292.7522477800926,1271.5109964512976,218.86745769882043
0.94,282.30919191492353,0.06,216.40908450065893,282.30919191492353,2293.572442537442,1271.4229172048954,218.8557806479528
0.93,281.9849092542559,0.07,221.32003663135276,281.9849092542559,2294.392748384428,1271.3347558440157,218.84409636414503
0.92,281.6578770072578,0.08,225.7578705695987,281.6578770072578,2295.213158114509,1271.2465087032633,218.83241092864353
0.91,281.32804069635364,0.09,229.8227026186208,281.32804069635364,2296.033721503353,1271.158198967549,218.8207092514943
0.9,280.99534414590755,0.1,233.58488272551978,280.99534414590755,2296.8543174883007,1271.0697693309903,218.8089993637483
0.89,280.65972940964787,0.11,237.0958928963781,280.65972940964787,2297.675052934781,1270.9812684536898,218.79728501488415
0.88,280.3211366941314,0.12,240.39463896849998,280.3211366941314,2298.4958636582114,1270.8926672782502,218.7855598471807
0.87,279.979504277985,0.13,243.51130096905118,279.979504277985,2299.3167998640374,1270.8039876838848,218.77382885940904
0.86,279.6347684266389,0.14,246.46980253179703,279.6347684266389,2300.1378546722026,1270.7152261092228,218.76209116617903
0.85,279.2868633022453,0.15,249.28945695633118,279.2868633022453,2300.9589635855214,1270.6263535150042,218.75034065945937
0.84,278.9357208684485,0.16,251.9861004957635,278.9357208684485,2301.7801771358622,1270.5373918448179,218.73859535097998
0.83,278.58127078964924,0.17,254.5728943703633,278.58127078964924,2302.6015462853256,1270.4483630912357,218.72682027677013
0.82,278.2234403243719,0.18,257.0609059533822,278.2234403243719,2303.422948605405,1270.3592127361944,218.7150453431588
0.81,277.8621542123141,0.19,259.45953871257495,277.8621542123141,2304.244493006403,1270.269988317232,218.70326383823945
0.8,277.4973345546211,0.2,261.7768560861088,277.4973345546211,2305.066172949849,1270.1806863800966,218.6914753415326
0.79,277.1289006868863,0.21,264.01982940971214,277.1289006868863,2305.8879236396074,1270.0912779454027,218.67967707624052
0.78,276.7567690443408,0.22,266.19453044448323,276.7567690443408,2306.7097965951084,1270.0017851117193,218.66787221329358
0.77,276.38085301864044,0.23,268.30628282038975,276.38085301864044,2307.531726813173,1269.9121788947784,218.6560563500539
0.76,276.0010628056134,0.24,270.35978255448737,276.0010628056134,2308.353824629854,1269.8225070363478,218.64423404799388
0.75,275.6173052432676,0.25,272.3591949751942,275.6173052432676,2309.176025162033,1269.7327405862934,218.63240505868526
0.74,275.2294836392966,0.26,274.30823342421706,275.2294836392966,2309.998263104398,1269.6428505980305,218.62057564817107
0.73,274.83749758725105,0.27,276.2102237265811,276.2102237265811,2310.82055716136,1269.5527048257375,218.60870549971418
0.72,274.4412427704635,0.28,278.0681574308748,278.0681574308748,2311.6430849803887,1269.4626584205237,218.59685009922453
0.71,274.0406107527274,0.29,279.88473610460534,279.88473610460534,2312.4656897538403,1269.372504037123,218.58498495483053
0.7,273.63548875463545,0.3,281.66240844236916,281.66240844236916,2313.2884242432424,1269.2822639720796,218.57311345843198
0.69,273.2257594143733,0.31,283.40340155240625,283.40340155240625,2314.1112229662626,1269.1919093384508,217.6902768577464
0.68,272.8113005316453,0.32,285.1097474922082,285.1097474922082,2314.9341983717354,1269.1014880952068,218.5493426168185
0.67,272.39198479327507,0.33,286.7833058998156,286.7833058998156,2315.7572255447244,1269.0109457650449,218.5374419230577
0.66,271.9676794788731,0.34,288.4257833956129,288.4257833956129,2316.580417389454,1268.9203303637437,218.52553795357846
0.65,271.5382461447974,0.35,290.0387502964791,290.0387502964791,2317.4036485769825,1268.8295874153544,218.51362073956696
0.64,271.1035402844437,0.36,291.62365508042774,291.62365508042774,2318.2270324698156,1268.7387649970658,218.50171014137214
0.63,270.66341096269053,0.37,293.18183695831254,293.18183695831254,2319.0505585639394,1268.647799107064,218.4897645556378
0.62,270.21770042208954,0.38,294.71453684459004,294.71453684459004,2319.874170055552,1268.556776477976,218.47782314876883
0.61,269.7662436581175,0.39,296.22290696762064,296.22290696762064,2320.6979167898667,1268.465664373239,218.4658751577036
0.6,269.308867960511,0.4,297.7080193186522,297.7080193186522,2321.5217327302466,1268.374433954567,218.45393053950687
0.59,268.84539241735683,0.41,299.1708731052493,299.1708731052493,2319.6097312905113,1267.3880968473932,218.2780348877986
0.58,268.37562737822395,0.42,300.6124013478211,300.6124013478211,2320.3675706003005,1267.2751117607527,218.26208230810963
0.57,267.89937387218373,0.43,302.03347673575786,302.03347673575786,2321.1256089107915,1267.1620641942604,218.24612253154447
0.56,267.4164229760595,0.44,303.4349168415163,303.4349168415163,2321.8837800499914,1267.0489253801372,218.2301566567931
0.55,266.9265551276742,0.45,304.81748877599915,304.81748877599915,2322.6420784424167,1266.9356922847758,218.21418090276512
0.54,266.4295393782103,0.46,306.18191335614966,306.18191335614966,2323.4005339316677,1266.8229603278191,218.19821344996
0.53,265.9251325770404,0.47,307.52886884534,307.52886884534,2324.1591924070317,1266.709576838305,218.1822111879061
0.52,265.41307848152763,0.48,308.85899431848037,308.85899431848037,2324.9179005642204,1266.5960642880527,218.166208983819
0.51,264.89310678329394,0.49,310.1728926965202,310.1728926965202,2325.676837035915,1266.4824970139357,218.15020638989333
0.5,264.364932041308,0.5,311.47113348889263,311.47113348889263,2326.435873779987,1266.368820513135,218.1341910652338
0.49,263.8282525108095,0.51,312.7542552772795,312.7542552772795,2327.195128766539,1266.255083414101,218.1181742053723
0.48,263.2827488555406,0.52,314.02276796968204,314.02276796968204,2327.954473527997,1266.141231211852,218.10214340228868
0.47,262.728082728951,0.53,315.2771548500396,315.2771548500396,2328.7140265303196,1266.0273125879767,218.08610983274733
0.46,262.16389520793655,0.54,316.51787444544414,316.51787444544414,2329.4737209568398,1265.913298849181,218.07006693714288
0.45,261.58980506020197,0.55,317.74536223025495,317.74536223025495,2330.233551739182,1265.799187109283,218.0540141412732
0.44,261.0054068234334,0.56,318.96003218406315,318.96003218406315,2330.9935761354964,1265.6850003183997,218.03795671913434
0.43,260.41026867103795,0.57,320.1622782184236,320.1622782184236,2331.753727044228,1265.570709804754,218.02188807515137
0.42,259.8039300351485,0.58,321.35247548551337,321.35247548551337,2332.5141245371233,1265.4563643956308,218.00581962379204
0.41,259.1858989527653,0.59,322.5309815803548,322.5309815803548,2333.274576365358,1265.3418837588663,217.98973283829625
0.4,258.5556490951438,0.6,323.6981376469141,323.6981376469141,2334.0352655346283,1265.2273426067625,217.97364505271528
0.39,257.9126164336379,0.61,324.8542693972347,324.8542693972347,2334.796124922214,1265.1127123089677,217.95754958824503
0.38,257.25619548689565,0.62,325.99968805175547,325.99968805175547,2335.5571499697953,1264.997990087131,217.9414458841123
0.37,256.58573508426343,0.63,327.13469120808037,327.13469120808037,2336.3183361459705,1264.8831731778203,217.92533335950534
0.36,255.90053356804972,0.64,328.2595636446931,328.2595636446931,2337.079678947214,1264.7682588266136,217.90921136797834
0.35,255.19983334240695,0.65,329.37457806542784,329.37457806542784,2337.8412372537064,1264.653270174509,217.89308543098753
0.34,254.48281465831067,0.66,330.47999578990647,330.47999578990647,2338.6029435002133,1264.5381786288526,217.8769488130196
0.33,253.74858850156008,0.67,331.57606739462403,331.57606739462403,2339.3648568626777,1264.4230073664585,217.8608070732923
0.32,252.99618842273102,0.68,332.66303330889315,332.66303330889315,2340.126973312016,1264.307753704747,217.84465953815945
0.31,252.22456111305422,0.69,333.74112436944273,333.74112436944273,2340.889225028705,1264.192389073388,217.82849964255047
0.3,251.43255548624904,0.7,334.81056233709796,334.81056233709796,2341.6516716417395,1264.0769367052324,217.81233278942747
0.29,250.6189099707287,0.71,335.8715603786376,335.8715603786376,2342.414309227055,1263.9613939584929,217.79615841974098
0.28,249.78223764568122,0.72,336.9243235166341,336.9243235166341,2343.1771338981007,1263.845758202102,217.77997594121308
