"Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,284.2,0.0,0.0,284.2,2288.6526322520376,1271.9500366651039,218.9257078331429
0.99,283.89115766528704,0.01,158.66879914182667,283.89115766528704,2286.0569008623693,1271.0824846263456,218.77096610045857
0.98,283.57986057395664,0.02,169.92881457027647,283.57986057395664,2283.4489429886175,1270.2109573799112,218.61556231959528
0.97,283.2660631056852,0.03,177.28844325805292,283.2660631056852,2280.828675723019,1269.3354301874185,218.45949483273603
0.96,282.94971830695005,0.04,182.90905242041669,282.94971830695005,2278.1961274481846,1268.455928842319,218.30276211657315
0.95,282.63077783763765,0.05,187.52034736476307,282.63077783763765,2275.551046237288,1267.5723522006026,218.14536333464895
0.94,282.30919191492353,0.06,191.46427680895593,282.30919191492353,2272.8935151668074,1266.684751043204,217.9872728472597
0.93,281.9849092542559,0.07,194.9305929202586,281.9849092542559,2270.2233371673587,1265.7930492389237,217.8285101153126
0.92,281.6578770072578,0.08,198.03631929327494,281.6578770072578,2267.5404264551403,1264.897221177909,217.6690593315187
0.91,281.32804069635364,0.09,200.8590797162401,281.32804069635364,2264.8447524475614,1263.9972663981748,217.5089211386597
0.9,280.99534414590755,0.1,203.45319233689926,280.99534414590755,2262.1362281044926,1263.0931589109657,217.34809107024262
0.89,280.65972940964787,0.11,205.85825864344966,280.65972940964787,2259.414710091451,1262.1848472323888,217.18655932514824
0.88,280.3211366941314,0.12,208.10410449524426,280.3211366941314,2256.680165978056,1261.2723303316359,217.02432646863465
0.87,279.979504277985,0.13,210.21379423344933,279.979504277985,2253.9324513340757,1260.3555563667146,216.86138269700663
0.86,279.6347684266389,0.14,212.20555813703075,279.6347684266389,2251.1715324885427,1259.4345239147715,216.6977285322941
0.85,279.2868633022453,0.15,214.0940737664379,279.2868633022453,2248.397319473458,1258.5092060497855,216.5333591867477
0.84,278.9357208684485,0.16,215.89134594405985,278.9357208684485,2245.609666217836,1257.5795503837592,216.36826479843643
0.83,278.58127078964924,0.17,217.60732804940656,278.58127078964924,2242.8085371750212,1256.6455548886006,216.20244556801555
0.82,278.2234403243719,0.18,219.2503712565128,278.2234403243719,2239.993785186175,1255.707166802964,216.03589171272714
0.81,277.8621542123141,0.19,220.8275561752949,277.8621542123141,2237.165373447583,1254.7643836833597,215.8686032865404
0.8,277.4973345546211,0.2,222.3449421869123,277.4973345546211,2234.3232090518136,1253.8171776175232,215.70057529868842
0.79,277.1289006868863,0.21,223.80775795371198,277.1289006868863,2231.467143215618,1252.865495270438,215.5317979081009
0.78,276.7567690443408,0.22,225.22054909642603,276.7567690443408,2228.5971753153567,1251.909925986579,215.36227205754219
0.77,276.38085301864044,0.23,226.58729416037377,276.38085301864044,2225.713078879399,1250.949222904929,215.1919854995654
0.76,276.0010628056134,0.24,227.91149675066313,276.0010628056134,2222.814852479294,1249.9839832973503,215.0209391420632
0.75,275.6173052432676,0.25,229.19625951419366,275.6173052432676,2219.902400263285,1249.0141781397822,214.84912789960538
0.74,275.2294836392966,0.26,230.44434412231487,275.2294836392966,2216.975570778317,1248.039753131363,214.67654149490977
0.73,274.83749758725105,0.27,231.6582203355276,274.83749758725105,2214.0343221424705,1247.060704075984,214.50317971257687
0.72,274.4412427704635,0.28,232.84010646522307,274.4412427704635,2211.078556752848,1246.0770013534388,214.32903713702336
0.71,274.0406107527274,0.29,233.992002992047,274.0406107527274,2208.1081215758218,1245.088590017711,214.15410358871947
0.7,273.63548875463545,0.3,235.11572069274504,273.63548875463545,2205.122972809332,1244.0956271384962,213.97838019220393
0.69,273.2257594143733,0.31,236.21290432444573,273.2257594143733,2202.1229563826355,1243.0977294964832,213.8018637086962
0.68,272.8113005316453,0.32,237.28505268781979,272.8113005316453,2199.108081869481,1242.0950826469234,213.62452823253665
0.67,272.39198479327507,0.33,238.3335357179134,272.39198479327507,2196.0780847969754,1241.0875806629415,213.44638857894492
0.66,271.9676794788731,0.34,239.35960911918886,271.9676794788731,2193.033028043675,1240.0752677069443,213.26743430659735
0.65,271.5382461447974,0.35,240.36442695908383,271.5382461447974,2189.9727008417367,1239.0580624816782,213.0876586023036
0.64,271.1035402844437,0.36,241.34905255473132,271.1035402844437,2186.8970555452843,1238.0359585348367,212.90705764463965
0.63,270.66341096269053,0.37,242.31446792490672,270.66341096269053,2183.8059350441313,1237.0088991687758,212.72562105979034
0.62,270.21770042208954,0.38,243.2615820297631,270.21770042208954,2180.6992904138497,1235.9768773949124,212.54335789807283
0.61,269.7662436581175,0.39,244.19123798147209,269.7662436581175,2177.577017712041,1234.9398609693492,212.36023153534455
0.6,269.308867960511,0.4,245.10421937726701,269.308867960511,2174.4390124291604,1233.8978173870757,212.17626656451506
0.59,268.84539241735683,0.41,246.00125588086865,268.84539241735683,2171.285115503282,1232.8506890078481,211.99144245005067
0.58,268.37562737822395,0.42,246.88302815757447,268.37562737822395,2168.115275453594,1231.7984677184356,211.8057573927427
0.57,267.89937387218373,0.43,247.75017225140053,267.89937387218373,2164.9293322715507,1230.7410953882008,211.61920111942536
0.56,267.4164229760595,0.44,248.60328347881244,267.4164229760595,2161.727233205743,1229.6785633115567,211.43177155822326
0.55,266.9265551276742,0.45,249.44291990216445,266.9265551276742,2158.508870963534,1228.6108376345983,211.24346269833003
0.54,266.4295393782103,0.46,250.26960543651,266.4295393782103,2155.274137701704,1227.5378842152668,211.054268012384
0.53,265.9251325770404,0.47,251.0838326355838,265.9251325770404,2152.0228715717885,1226.4596439058807,210.86417699614913
0.52,265.41307848152763,0.48,251.8860651961828,265.41307848152763,2148.7550172889705,1225.3761067627422,210.6731873843324
0.51,264.89310678329394,0.49,252.67674021466578,264.89310678329394,2145.4704653849044,1224.2873025612907,210.48129330485062
0.5,264.364932041308,0.5,253.45627022464785,264.364932041308,2142.1690526893767,1223.193040496581,210.28848289183418
0.49,263.8282525108095,0.51,254.2250450410462,263.8282525108095,2138.8507220331126,1222.0933749690964,210.09475413122348
0.48,263.2827488555406,0.52,254.98343343230485,263.2827488555406,2135.515362354997,1220.9882715806395,209.900100373399
0.47,262.728082728951,0.53,255.7317846397958,262.728082728951,2132.162862244264,1219.8784470560722,209.7045092203133
0.46,262.16389520793655,0.54,256.47042976097543,262.16389520793655,2128.7930556141814,1218.7623164815182,209.507991012962
0.45,261.58980506020197,0.55,257.19968301080337,261.58980506020197,2125.4058838719084,1217.6406377991495,209.3105104932574
0.44,261.0054068234334,0.56,257.9198428741525,261.0054068234334,2122.001233886838,1216.51337312635,209.1120816651128
0.43,260.41026867103795,0.57,258.6311931604036,260.41026867103795,2118.578939613335,1215.380461870931,208.91270178005962
0.42,259.8039300351485,0.58,259.3340039700945,259.8039300351485,2115.138939545262,1214.241889909718,208.71233826728425
0.41,259.1858989527653,0.59,260.0285325823438,260.0285325823438,2111.681119042965,1213.097618990106,208.5110061096431
0.4,258.5556490951438,0.6,260.7150242707732,260.7150242707732,2108.205362979417,1211.9476105989465,208.30869522602202
0.39,257.9126164336379,0.61,261.3937130547822,261.3937130547822,2104.711503820449,1210.7918015840066,208.1053919444955
0.38,257.25619548689565,0.62,262.06482239227216,262.06482239227216,2101.199477612136,1209.6301768287362,207.9010928525171
0.37,256.58573508426343,0.63,262.72856581925134,262.72856581925134,2097.6691677671874,1208.4626966370388,207.6957904928443
0.36,255.90053356804972,0.64,263.38514754117165,263.38514754117165,2094.120457221025,1207.289320932408,207.4894770185733
0.35,255.19983334240695,0.65,264.03476298033604,264.03476298033604,2090.5531770488346,1206.1099851277231,207.2821415155399
0.34,254.48281465831067,0.66,264.6775992832641,264.6775992832641,2086.967260911083,1204.924672572806,207.07377962311253
0.33,253.74858850156008,0.67,265.3138357915072,265.3138357915072,2083.362564794336,1203.7333299925244,206.86438180138123
0.32,252.99618842273102,0.68,265.9436444790511,265.9436444790511,2079.7389954791147,1202.5359262945458,206.65394197229176
0.31,252.22456111305422,0.69,266.5671903591333,266.5671903591333,2076.0964335988015,1201.3324224454002,206.44245219150275
0.3,251.43255548624904,0.7,267.1846318630261,267.1846318630261,2072.434734004506,1200.1227624347569,206.2299025372683
0.29,250.6189099707287,0.71,267.7961211930889,267.7961211930889,2068.7538019234003,1198.9069153273813,206.01628665811864
0.28,249.78223764568122,0.72,268.40180465217594,268.40180465217594,2065.053491482228,1197.68482583561,205.80159459058845
0.27,248.92100876341027,0.73,269.00182295128866,269.00182295128866,2061.3337068904407,1196.4564620861136,205.58581970318278
0.26,248.0335300822494,0.74,269.5963114971874,269.5963114971874,2057.594301574789,1195.2217884365118,205.36895213144595
