"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,406.15,0.0,0.0,406.15,1828.6017490721124,1125.851120962806,193.08687839376256
0.99,404.8212482739041,0.01,172.03770981367222,404.8212482739041,1841.427843029311,1129.244262565459,193.69354952278567
0.98,403.48780445813867,0.02,186.85904295383708,403.48780445813867,1853.920609264479,1132.537092309257,194.28207542197703
0.97,402.1495745640237,0.03,196.77564745623067,402.1495745640237,1866.0916048957451,1135.7338983310976,194.85326327252696
0.96,400.8064620018736,0.04,204.47489306099624,400.8064620018736,1877.951841176525,1138.83835024913,195.4078753571873
0.95,399.45836748014415,0.05,210.8747907345989,399.45836748014415,1889.511970279967,1141.8555618042988,195.94662709436895
0.94,398.1051888995586,0.06,216.40908450065893,398.1051888995586,1900.7820882955293,1144.788557678781,196.4701926571892
0.93,396.7468212419109,0.07,221.32003663135276,396.7468212419109,1911.7719122773613,1147.6406445754294,196.97920687211806
0.92,395.38315645321296,0.08,225.7578705695987,395.38315645321296,1922.490725070207,1150.4153605171593,197.47427254530123
0.91,394.0140833208374,0.09,229.8227026186208,394.0140833208374,1932.9475040827433,1153.1156675108982,197.9559572428574
0.9,392.63948734427385,0.1,233.58488272551978,392.63948734427385,1943.1508150056225,1155.7444733188834,198.42479740157998
0.89,391.25925059909423,0.11,237.0958928963781,391.25925059909423,1953.1088643417756,1158.304520981383,198.88129988096065
0.88,389.87325159368714,0.12,240.39463896849998,389.87325159368714,1962.8296279033696,1160.7983403818776,199.32594754946382
0.87,388.4813651182913,0.13,243.51130096905118,388.4813651182913,1972.3206621603852,1163.228602208331,199.7591967519273
0.86,387.0834620858189,0.14,246.46980253179703,387.0834620858189,1981.58925965653,1165.5970662828306,200.18147777279273
0.85,385.6794093639211,0.15,249.28945695633118,385.6794093639211,1990.642507194753,1167.906914855596,200.59320827744742
0.84,384.2690695977053,0.16,251.9861004957635,384.2690695977053,1999.4871931349564,1170.159838197112,200.99477707382874
0.83,382.85230102246277,0.17,254.5728943703633,382.85230102246277,2008.1298348810315,1172.3578613070497,201.3865454004737
0.82,381.4289572657185,0.18,257.0609059533822,381.4289572657185,2016.5766284414237,1174.5028731116981,201.76887931863118
0.81,379.9988871378531,0.19,259.45953871257495,379.9988871378531,2024.833651954542,1176.5967291874806,202.14211095571517
0.8,378.5619344104879,0.2,261.7768560861088,378.5619344104879,2032.906721952239,1178.6411807838801,202.5065610963675
0.79,377.11793758175423,0.21,264.01982940971214,377.11793758175423,2040.8014412303992,1180.6378990401474,202.8625355143237
0.78,375.66672962749277,0.22,266.19453044448323,375.66672962749277,2048.5231686236534,1182.5884619743326,203.21032354655566
0.77,374.2081377373476,0.23,268.30628282038975,374.2081377373476,2056.0771450035263,1184.4944121852886,203.5502088034217
0.76,372.7419830346269,0.24,270.35978255448737,372.7419830346269,2063.4683841293527,1186.357207501559,203.88244834678335
0.75,371.26808027870345,0.25,272.3591949751942,371.26808027870345,2070.70171936006,1188.178242598969,204.20730500345175
0.74,369.7862375486169,0.26,274.30823342421706,369.7862375486169,2077.7817715058814,1189.9588350039726,204.52501607642816
0.73,368.29625590641757,0.27,276.2102237265811,368.29625590641757,2084.713034685101,1191.7002416118041,204.83581360033446
0.72,366.7979290386569,0.28,278.0681574308748,366.7979290386569,2091.4998832592673,1193.4037481845342,205.13992271753176
0.71,365.2910428742786,0.29,279.88473610460534,365.2910428742786,2098.1464595448647,1195.0704913831057,205.43755338304243
0.7,363.7753751770015,0.3,281.66240844236916,363.7753751770015,2104.6568380806766,1196.7016157298697,205.72891218980683
0.69,362.2506951100951,0.31,283.40340155240625,362.2506951100951,2111.034873142539,1198.2981857469765,206.01419165799805
0.68,360.71676277125067,0.32,285.1097474922082,360.71676277125067,2117.2843626766553,1199.8612574773608,206.29358183127945
0.67,359.173328695015,0.33,286.7833058998156,359.173328695015,2123.4088015137636,1201.3910115552724,206.56726442693088
0.66,357.6201333200029,0.34,288.4257833956129,357.6201333200029,2129.4119176543095,1202.8899926438983,206.83539912275003
0.65,356.0569064178179,0.35,290.0387502964791,356.0569064178179,2135.2969229379173,1204.358320341683,207.0981744540783
0.64,354.4833664802914,0.36,291.62365508042774,354.4833664802914,2141.0672032343655,1205.796932746492,207.3557158191706
0.63,352.89922006128967,0.37,293.18183695831254,352.89922006128967,2146.7257958872765,1207.2066328346195,207.6082035542579
0.62,351.3041610689405,0.38,294.71453684459004,351.3041610689405,2152.2758291392247,1208.588276285906,207.85577810922388
0.61,349.697870003673,0.39,296.22290696762064,349.697870003673,2157.7202098919693,1209.9425719502567,208.09858975021092
0.6,348.08001313695564,0.4,297.7080193186522,348.08001313695564,2163.061825149602,1211.2704288589248,208.33674043251614
0.59,346.4502416250414,0.41,299.1708731052493,346.4502416250414,2168.303427325005,1212.5725179921726,208.57039848729258
0.58,344.80819055137255,0.42,300.6124013478211,344.80819055137255,2173.4476380862548,1213.8495313276414,208.79967385126295
0.57,343.15347789056005,0.43,302.03347673575786,343.15347789056005,2178.4970305433067,1215.10215232344,209.02468767015432
0.56,341.4857033860074,0.44,303.4349168415163,341.4857033860074,2183.454132286976,1216.331056699246,209.24556279494558
0.55,339.8044473322921,0.45,304.81748877599915,339.8044473322921,2188.3213500714874,1217.5368805821474,208.600192554823
0.54,338.109269252321,0.46,306.18191335614966,338.109269252321,2193.1010121968857,1218.7202380619208,209.67532462422074
0.53,336.39970645802384,0.47,307.52886884534,336.39970645802384,2197.7953714384803,1219.8817221221504,209.88442992339247
0.52,334.6752724819119,0.48,308.85899431848037,334.6752724819119,2202.4065689918684,1221.0218894615548,210.08981684511627
0.51,332.93545536517615,0.49,310.1728926965202,332.93545536517615,2206.9367539215873,1222.1413097180864,210.29158544475462
0.5,331.1797157860944,0.5,311.47113348889263,331.1797157860944,2211.3880075552124,1223.2405337059733,210.4898326830961
0.49,329.40748501031516,0.51,312.7542552772795,329.40748501031516,2215.7622300668195,1224.3200465333914,210.68464327896143
0.48,327.61816264203367,0.52,314.02276796968204,327.61816264203367,2220.0614138913706,1225.3803800363476,210.8761107909595
0.47,325.81111415210745,0.53,315.2771548500396,325.81111415210745,2224.287375143475,1226.4218373336275,211.0643149788386
0.46,323.98566815570166,0.54,316.51787444544414,323.98566815570166,2228.4419489292954,1227.445226026148,211.2493441927315
0.45,322.141113408006,0.55,317.74536223025495,322.141113408006,2232.526837467618,1228.450823593385,211.43127264247946
0.44,320.27669548181797,0.56,318.96003218406315,320.27669548181797,2236.5437657521325,1229.439083880647,211.61017973556534
0.43,318.3916130851979,0.57,320.1622782184236,320.1622782184236,2240.494330211705,1230.410415555149,211.78613635814284
0.42,316.4850139707931,0.58,321.35247548551337,321.35247548551337,2244.380153497336,1231.365244983768,211.95921694479756
0.41,314.5559903805969,0.59,322.5309815803548,322.5309815803548,2248.2027716242806,1232.3039700258046,212.12949065737206
0.4,312.6035739605811,0.6,323.6981376469141,323.6981376469141,2251.963711778029,1233.2269914332983,212.29702752902043
0.39,310.62673006848684,0.61,324.8542693972347,324.8542693972347,2255.6643426385067,1234.1346520855147,212.46188614347716
0.38,308.62435138467976,0.62,325.99968805175547,325.99968805175547,2259.306140719785,1235.027344546198,212.62413538040633
0.37,306.59525071983,0.63,327.13469120808037,327.13469120808037,2262.890427338002,1235.9054045045204,212.78383289071877
0.36,304.5381528936253,0.64,328.2595636446931,328.2595636446931,2266.4185586284125,1236.7691873278468,212.94104063189434
0.35,302.45168553492135,0.65,329.37457806542784,329.37457806542784,2269.8917767006624,1237.619007922427,213.09581243198335
0.34,300.3343686245975,0.66,330.47999578990647,330.47999578990647,2273.311398065241,1238.4552162877337,213.24820995365582
0.33,298.1846025665435,0.67,331.57606739462403,331.57606739462403,2276.6785536302777,1239.2780930023212,213.39828027659618
0.32,296.0006545278421,0.68,332.66303330889315,332.66303330889315,2279.994488068728,1240.0879690918891,213.54608181026643
0.31,293.7806427339774,0.69,333.74112436944273,333.74112436944273,2283.2603006218774,1240.8851220531844,213.6916616159086
0.3,291.52251833569096,0.7,334.81056233709796,334.81056233709796,2286.4771318207663,1241.6698504054364,213.835071838993
0.29,289.2240443767783,0.71,335.8715603786376,335.8715603786376,2289.646016755811,1242.4424149702404,213.9763564362125
0.28,286.8827712811383,0.72,336.9243235166341,336.9243235166341,2292.768033581153,1243.2030979314022,214.11556474513105
0.27,284.4960081352494,0.73,337.96904904981835,337.96904904981835,2295.8442305172516,1243.9521735497592,214.2527447134343
0.26,282.0607888586917,0.74,339.00592694627807,339.00592694627807,2298.8755176498203,1244.6898651537817,214.38793285566285
0.25,279.5738321162111,0.75,340.03514021158867,340.03514021158867,2301.8629234816053,1245.416446838106,214.5211779810936
0.24,277.0314935103299,0.76,341.0568652337887,341.0568652337887,2304.807376645439,1246.1321566885788,214.65252078385532
0.23,274.4297081756961,0.77,342.07127210694034,342.07127210694034,2307.7097439043155,1246.837211861039,214.7819976063666
