"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,406.15,0.0,0.0,406.15,1828.6017490721124,1125.851120962806,193.08687839376256
0.99,404.8212482739041,0.01,158.66879914182667,404.8212482739041,1830.974434478869,1126.5248826207876,193.20729799224733
0.98,403.48780445813867,0.02,169.92881457027647,403.48780445813867,1833.3042460126778,1127.1860953438527,193.32546878161463
0.97,402.1495745640237,0.03,177.28844325805292,402.1495745640237,1835.5923279188041,1127.835107627665,193.4414533169267
0.96,400.8064620018736,0.04,182.90905242041669,400.8064620018736,1837.8397684532029,1128.4722446491587,193.5553114740427
0.95,399.45836748014415,0.05,187.52034736476307,399.45836748014415,1840.0476493829358,1129.0978389120849,193.66710155610596
0.94,398.1051888995586,0.06,191.46427680895593,398.1051888995586,1842.2169997643714,1129.7122017892405,193.77687937763017
0.93,396.7468212419109,0.07,194.9305929202586,396.7468212419109,1844.3487820273,1130.31561617888,193.88469844484294
0.92,395.38315645321296,0.08,198.03631929327494,395.38315645321296,1846.4440037457337,1130.9083979523064,193.99061139555207
0.91,394.0140833208374,0.09,200.8590797162401,394.0140833208374,1848.503545828737,1131.4908007169965,194.0946677374637
0.9,392.63948734427385,0.1,203.45319233689926,392.63948734427385,1850.528336761292,1132.063111651106,194.19691631102793
0.89,391.25925059909423,0.11,205.85825864344966,391.25925059909423,1852.5192283837466,1132.6255827919297,194.29740360781182
0.88,389.87325159368714,0.12,208.10410449524426,389.87325159368714,1854.4770752354343,1133.1784750309778,194.39617513801852
0.87,388.4813651182913,0.13,210.21379423344933,388.4813651182913,1856.4026735201762,1133.7220217670501,194.49327416318187
0.86,387.0834620858189,0.14,212.20555813703075,387.0834620858189,1858.2968241729088,1134.256467104202,194.58874308368593
0.85,385.6794093639211,0.15,214.0940737664379,385.6794093639211,1860.160256850794,1134.7820216053242,194.6826222533114
0.84,384.2690695977053,0.16,215.89134594405985,384.2690695977053,1861.9937232280365,1135.2989134522563,194.77495117474137
0.83,382.85230102246277,0.17,217.60732804940656,382.85230102246277,1863.7979667376158,1135.8073716468296,194.86576857555548
0.82,381.4289572657185,0.18,219.2503712565128,381.4289572657185,1865.5736172447448,1136.3074514242162,194.95510905713226
0.81,379.9988871378531,0.19,220.8275561752949,379.9988871378531,1867.32140470533,1136.799617939332,195.04301171742725
0.8,378.5619344104879,0.2,222.3449421869123,378.5619344104879,1869.0418748927636,1137.2832568272477,195.1295083096696
0.79,377.11793758175423,0.21,223.80775795371198,377.11793758175423,1870.7358013559272,1137.7598976791885,195.21463450697405
0.78,375.66672962749277,0.22,225.22054909642603,375.66672962749277,1872.4036918133354,1138.2290373324215,195.29842076880772
0.77,374.2081377373476,0.23,226.58729416037377,374.2081377373476,1874.0461973979582,1138.6908829471975,195.38090014249235
0.76,372.7419830346269,0.24,227.91149675066313,372.7419830346269,1875.6638618531329,1139.145588192676,195.46210201312323
0.75,371.26808027870345,0.25,229.19625951419366,371.26808027870345,1877.2572123336472,1139.593301881444,195.54205527981043
0.74,369.7862375486169,0.26,230.44434412231487,369.7862375486169,1878.8268481677821,1140.0342150135627,195.62079000078631
0.73,368.29625590641757,0.27,231.6582203355276,368.29625590641757,1880.3732349068252,1140.468450951529,195.6983322455614
0.72,366.7979290386569,0.28,232.84010646522307,366.7979290386569,1881.896940381157,1140.8961908939777,195.7747106202255
0.71,365.2910428742786,0.29,233.992002992047,365.2910428742786,1883.3984006531123,1141.3175494377072,195.8499494943315
0.7,363.7753751770015,0.3,235.11572069274504,363.7753751770015,1884.87812531044,1141.7326833916093,195.92407490382595
0.69,362.2506951100951,0.31,236.21290432444573,362.2506951100951,1886.3366098312044,1142.1417450938507,195.99711239308968
0.68,360.71676277125067,0.32,237.28505268781979,360.71676277125067,1887.7742499197007,1142.5448371989942,196.06908409325914
0.67,359.173328695015,0.33,238.3335357179134,359.173328695015,1889.1914866463758,1142.9420892437213,196.1400130803178
0.66,357.6201333200029,0.34,239.35960911918886,357.6201333200029,1890.5888057882498,1143.3336569742069,196.20992368899851
