"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,352.15,0.0,0.0,352.15,2127.055688648642,1204.330087950392,207.24815319296798
0.99,350.81451082881495,0.01,189.65851548365129,350.81451082881495,2129.3995475208517,1205.2972330971488,207.41461551183872
0.98,349.4757080765191,0.02,199.65526687565674,349.4757080765191,2131.722081431415,1206.2560163912422,207.57965421178702
0.97,348.1335101353437,0.03,206.00706498961617,348.1335101353437,2134.0235825952054,1207.2065457683088,207.74327829046433
0.96,346.7878332002814,0.04,210.76449803094206,346.7878332002814,2136.3043058049466,1208.1489132324348,207.90551261102112
0.95,345.43859118371245,0.05,214.60872919011203,345.43859118371245,2138.5645652901235,1209.0832372023506,208.06637459568154
0.94,344.08569562578964,0.06,217.85536804285132,344.08569562578964,2140.804638014232,1210.009555347818,208.22588094830977
0.93,342.7290556003253,0.07,220.67799215017988,342.7290556003253,2143.024763940421,1210.9280833337655,208.38404770180549
0.92,341.3685776159007,0.08,223.18285262008837,341.3685776159007,2145.225210495709,1211.838856312792,208.5408910380571
0.91,340.00416551190256,0.09,225.4399734294856,340.00416551190256,2147.406304565208,1212.741999937229,208.6964328709863
0.9,338.635720349166,0.1,227.49807522373564,338.635720349166,2149.568208056536,1213.6375679151358,208.85068177510385
0.89,337.2631402948811,0.11,229.3924963826046,337.2631402948811,2151.711238778998,1214.5256826957004,209.00365890070842
0.88,335.88632050139387,0.12,231.14972775447512,335.88632050139387,2153.8356459693614,1215.4064370406613,209.1553802465597
0.87,334.5051529785029,0.13,232.7901668154793,334.5051529785029,2155.9416426568573,1216.2799081695814,209.305858589074
0.86,333.119526458825,0.14,234.3298718463234,333.119526458825,2158.029501578217,1217.1461998851182,209.4551119896132
0.85,331.7293262557663,0.15,235.78172377804654,331.7293262557663,2160.099427522956,1218.00538648169,209.60315276488407
0.84,330.3344341136013,0.16,237.15622136807588,330.3344341136013,2162.1516850115286,1218.8575688604956,209.749998421756
0.83,328.93472804912,0.17,238.4620408195088,328.93472804912,2164.186470934591,1219.7028185095653,209.8956608593677
0.82,327.5300821842623,0.18,239.7064392025819,327.5300821842623,2166.204041924988,1220.5412335426122,210.0401570036961
0.81,326.120366569108,0.19,240.89555142546328,326.120366569108,2168.204587299212,1221.3728827561572,210.18349840680477
0.8,324.70544699454007,0.2,242.03461290126396,324.70544699454007,2170.188324469524,1222.1978476271083,210.32569892722378
0.79,323.28518479384206,0.21,243.12812924517394,323.28518479384206,2172.155498821811,1223.0162222833724,210.46677478239985
0.78,321.8594366324237,0.22,244.18000749660428,321.8594366324237,2174.106288887986,1223.8280716833399,210.60673679747003
0.77,320.42805428480483,0.23,245.19365892290966,320.42805428480483,2176.0409329240365,1224.6334874263844,210.74560085200338
0.76,318.9908843979055,0.24,246.17208051407866,318.9908843979055,2177.959602635213,1225.4325320346381,210.88337730276405
