"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,352.15,0.0,0.0,352.15,2127.055688648642,1204.330087950392,207.24815319296798
0.99,350.81451082881495,0.01,172.03770981367222,350.81451082881495,2130.4879924539823,1205.159572357396,207.39480750411866
0.98,349.4757080765191,0.02,186.85904295383708,349.4757080765191,2133.890178483631,1205.9813495300557,207.540118565262
0.97,348.1335101353437,0.03,196.77564745623067,348.1335101353437,2137.2625336095275,1206.7954855004077,207.68411059249652
0.96,346.7878332002814,0.04,204.47489306099624,346.7878332002814,2140.6055018034604,1207.6020506427344,207.82679540569333
0.95,345.43859118371245,0.05,210.8747907345989,345.43859118371245,2143.9193592990073,1208.4012352390935,207.96820691949839
0.94,344.08569562578964,0.06,216.40908450065893,344.08569562578964,2147.2045401161095,1209.1931074394759,208.10832779150758
0.93,342.7290556003253,0.07,221.32003663135276,342.7290556003253,2150.461310150749,1209.9777265392086,208.2472061718671
0.92,341.3685776159007,0.08,225.7578705695987,341.3685776159007,2153.690060965312,1210.7552065920663,208.38485009260233
0.91,340.00416551190256,0.09,229.8227026186208,340.00416551190256,2156.8910737977717,1211.5255385731566,208.52127204781874
0.9,338.635720349166,0.1,233.58488272551978,338.635720349166,2160.06477736179,1212.288997237233,208.6564949086324
0.89,337.2631402948811,0.11,237.0958928963781,337.2631402948811,2163.211411184748,1213.0455645113238,208.79052778350388
0.88,335.88632050139387,0.12,240.39463896849998,335.88632050139387,2166.3313151092375,1213.7953342408564,208.9233875719042
0.87,334.5051529785029,0.13,243.51130096905118,334.5051529785029,2169.4248244701826,1214.5383988147153,209.05509083135024
0.86,333.119526458825,0.14,246.46980253179703,333.119526458825,2172.492270152696,1215.2748491938949,209.18565412266491
0.85,331.7293262557663,0.15,249.28945695633118,331.7293262557663,2175.5339125166965,1216.004746894191,209.31508792367075
0.84,330.3344341136013,0.16,251.9861004957635,330.3344341136013,2178.5501066009256,1216.7281941690367,209.44341099145672
0.83,328.93472804912,0.17,254.5728943703633,328.93472804912,2181.541103904886,1217.4452498738099,209.57063331015587
0.82,327.5300821842623,0.18,257.0609059533822,327.5300821842623,2184.5072509565834,1218.156013610289,209.69677313197093
0.81,326.120366569108,0.19,259.45953871257495,326.120366569108,2187.4487906480363,1218.860541682572,209.82183996094608
0.8,324.70544699454007,0.2,261.7768560861088,324.70544699454007,2190.3660612322224,1219.5589311434533,209.94585150954498
0.79,323.28518479384206,0.21,264.01982940971214,323.28518479384206,2193.259297240352,1220.2512358490123,210.06881690777794
0.78,321.8594366324237,0.22,266.19453044448323,321.8594366324237,2196.128795578589,1220.9375364365314,210.19075051594305
0.77,320.42805428480483,0.23,268.30628282038975,320.42805428480483,2198.9748492322833,1221.6179123487634,210.31166661008487
0.76,318.9908843979055,0.24,270.35978255448737,318.9908843979055,2201.797713958074,1222.2924279104548,210.43157916003474
0.75,317.5477682396106,0.25,272.3591949751942,317.5477682396106,2204.597674972617,1222.9611602688417,210.55050909591387
0.74,316.0985414314812,0.26,274.30823342421706,316.0985414314812,2207.3750137312068,1223.6241854406367,210.66843208100977
0.73,314.6430336643836,0.27,276.2102237265811,314.6430336643836,2210.1299411006876,1224.281550504705,210.7853992384458
0.72,313.1810683956936,0.28,278.0681574308748,313.1810683956936,2212.862731016988,1224.9333293413736,210.90140839004056
0.71,311.71246252660626,0.29,279.88473610460534,311.71246252660626,2215.57365381458,1225.5795947621714,211.01647250779382
0.7,310.23702605794307,0.3,281.66240844236916,310.23702605794307,2218.2629427650554,1226.2202396631762,211.1305997347613
0.69,308.7545617226933,0.31,283.40340155240625,308.7545617226933,2220.930861078643,1226.8556615986456,211.24380627668643
0.68,307.26486459335285,0.32,285.1097474922082,307.26486459335285,2223.5776349596235,1227.4857546258302,211.3561003303148
0.67,305.76772166193206,0.33,286.7833058998156,305.76772166193206,2226.2035206979813,1228.1105875350809,211.4674933266155
0.66,304.26291139029064,0.34,288.4257833956129,304.26291139029064,2228.8087712279557,1228.7302281420598,211.5779976524771
0.65,302.75020322821564,0.35,290.0387502964791,302.75020322821564,2231.393568951383,1229.3447156393215,211.6876196646761
0.64,301.22935709639285,0.36,291.62365508042774,301.22935709639285,2233.9581937489083,1229.9541298295699,211.79637375777523
0.63,299.7001228311178,0.37,293.18183695831254,299.7001228311178,2236.5028550655766,1230.558521922775,211.9042686769613
0.62,298.1622395872592,0.38,294.71453684459004,298.1622395872592,2239.027759108259,1231.1579422664029,212.01131295598472
0.61,296.6154351956011,0.39,296.22290696762064,296.6154351956011,2246.9213864242774,1233.498767497622,212.4339632228834
0.6,295.05942547026746,0.4,297.7080193186522,297.7080193186522,2249.4279219946884,1234.0951866668759,212.5406717256548
0.59,293.49391346144347,0.41,299.1708731052493,299.1708731052493,2246.4862792206395,1232.92700126934,212.32745313028667
0.58,291.9185886480633,0.42,300.6124013478211,300.6124013478211,2248.9344231307155,1233.507131245021,212.4311995759912
0.57,290.33312606451017,0.43,302.03347673575786,302.03347673575786,2251.363929107169,1234.082583561467,212.53414699978364
0.56,288.73718535466946,0.44,303.4349168415163,303.4349168415163,2253.7749513464987,1234.6533898314299,212.6363001187254
0.55,287.1304097458705,0.45,304.81748877599915,304.81748877599915,2256.1677085999227,1235.2196083905962,212.73766918381213
0.54,285.5124249343349,0.46,306.18191335614966,306.18191335614966,2258.5424505666833,1235.7813104851498,212.83826729827314
0.53,283.8828378726987,0.47,307.52886884534,307.52886884534,2260.89932286385,1236.338525452853,212.93809866366823
0.52,282.2412354489711,0.48,308.85899431848037,308.85899431848037,2263.238535861335,1236.891309322525,213.03717317360875
0.51,280.58718304490714,0.49,310.1728926965202,310.1728926965202,2265.5602972258325,1237.439717368027,213.1355006337647
