"Acetamide Molar Composition 
[%]","Acetamide Liquidus Temperature 
[K]","Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,352.15,0.0,0.0,352.15,2127.055688648642,1204.330087950392,207.24815319296798
0.99,350.81451082881495,0.01,158.66879914182667,350.81451082881495,2125.0910065284315,1203.8448032049052,207.1593658114508
0.98,349.4757080765191,0.02,169.92881457027647,349.4757080765191,2123.1312090536535,1203.3605826112446,207.07079186425125
0.97,348.1335101353437,0.03,177.28844325805292,348.1335101353437,2121.1762871597775,1202.8774279109339,206.982430600278
0.96,346.7878332002814,0.04,182.90905242041669,346.7878332002814,2119.2261998561808,1202.3953224173251,206.89427898712307
0.95,345.43859118371245,0.05,187.52034736476307,345.43859118371245,2117.2809383435697,1201.914264976336,206.806336326108
0.94,344.08569562578964,0.06,191.46427680895593,344.08569562578964,2115.340557094404,1201.4342822199171,206.71860685683683
0.93,342.7290556003253,0.07,194.9305929202586,342.7290556003253,2113.4049519142923,1200.9553310896936,206.6310827146948
0.92,341.3685776159007,0.08,198.03631929327494,341.3685776159007,2111.4742085091193,1200.4774519553903,206.5437703480311
0.91,340.00416551190256,0.09,200.8590797162401,340.00416551190256,2109.5482763947175,1200.001372585566,206.4566605073034
0.9,338.635720349166,0.1,203.45319233689926,338.635720349166,2107.627133642341,1199.5255810135511,206.369762715768
0.89,337.2631402948811,0.11,205.85825864344966,337.2631402948811,2105.7107310428846,1199.050815993276,206.2830677867821
0.88,335.88632050139387,0.12,208.10410449524426,335.88632050139387,2103.799152788594,1198.577117434931,206.1965819622363
0.87,334.5051529785029,0.13,210.21379423344933,334.5051529785029,2101.892296481032,1198.104442550126,206.11029781128045
0.86,333.119526458825,0.14,212.20555813703075,333.119526458825,2099.990214808683,1197.63281735023,206.02421914974045
0.85,331.7293262557663,0.15,214.0940737664379,331.7293262557663,2098.0928982394485,1197.1622402559005,205.93834541988878
0.84,330.3344341136013,0.16,215.89134594405985,330.3344341136013,2096.200306676232,1196.6926960933365,205.85267366425808
0.83,328.93472804912,0.17,217.60732804940656,328.93472804912,2094.31243084746,1196.2241833305452,205.7672033121638
0.82,327.5300821842623,0.18,219.2503712565128,327.5300821842623,2092.429291750511,1195.7567139149055,205.68193592578382
0.81,326.120366569108,0.19,220.8275561752949,326.120366569108,2090.550849511344,1195.2902726898428,205.5968686801955
0.8,324.70544699454007,0.2,222.3449421869123,324.70544699454007,2088.677094747455,1194.8248580457475,205.5120008899821
0.79,323.28518479384206,0.21,223.80775795371198,323.28518479384206,2086.8080480166886,1194.3604817507187,205.42733427649407
0.78,321.8594366324237,0.22,225.22054909642603,321.8594366324237,2084.9436696685602,1193.8971286753654,205.3428658640579
0.77,320.42805428480483,0.23,226.58729416037377,320.42805428480483,2083.0839799718206,1193.4348104722267,205.25859732029656
0.76,318.9908843979055,0.24,227.91149675066313,318.9908843979055,2081.2289395265757,1192.9735123211376,205.17452573288108
0.75,317.5477682396106,0.25,229.19625951419366,317.5477682396106,2079.378538707905,1192.5132332998762,205.09065061958023
0.74,316.0985414314812,0.26,230.44434412231487,316.0985414314812,2077.5327678924796,1192.0539705903736,205.00697134996247
0.73,314.6430336643836,0.27,231.6582203355276,314.6430336643836,2075.6916467791725,1191.5957356257518,204.92348929726126
0.72,313.1810683956936,0.28,232.84010646522307,313.1810683956936,2073.8551069490914,1191.1385001594,204.8401997935635
0.71,311.71246252660626,0.29,233.992002992047,311.71246252660626,2072.023226365194,1190.6823018976334,204.7571084364753
0.7,310.23702605794307,0.3,235.11572069274504,310.23702605794307,2070.19590764784,1190.2270994764137,204.67420844812284
0.69,308.7545617226933,0.31,236.21290432444573,308.7545617226933,2068.3731702587174,1189.7729034552099,204.59150115709932
0.68,307.26486459335285,0.32,237.28505268781979,307.26486459335285,2066.5550332021644,1189.319726527313,204.5089881523428
0.67,305.76772166193206,0.33,238.3335357179134,305.76772166193206,2064.741457655304,1188.8675529101404,204.42666667601722
0.66,304.26291139029064,0.34,239.35960911918886,304.26291139029064,2062.9324337695894,1188.4163806853117,204.34453616999144
0.65,302.75020322821564,0.35,240.36442695908383,302.75020322821564,2061.127951666495,1187.9662281828646,204.2625962356353
0.64,301.22935709639285,0.36,241.34905255473132,301.22935709639285,2059.3280298093714,1187.5170655514896,204.18084785990365
0.63,299.7001228311178,0.37,242.31446792490672,299.7001228311178,2057.5326014140046,1187.0688855052686,204.09928672313578
0.62,298.1622395872592,0.38,243.2615820297631,298.1622395872592,2055.741713153929,1186.621711860624,204.01791611387546
0.61,296.6154351956011,0.39,244.19123798147209,296.6154351956011,2056.8284882069497,1187.1021713384753,204.10205636106542
0.6,295.05942547026746,0.4,245.10421937726701,295.05942547026746,2055.0014744221235,1186.6424191748843,204.01845279106854
0.59,293.49391346144347,0.41,246.00125588086865,293.49391346144347,2053.1788893384137,1186.1836430759888,203.93503429662104
0.58,291.9185886480633,0.42,246.88302815757447,291.9185886480633,2051.360695673036,1185.7258283504405,203.85179834357373
0.57,290.33312606451017,0.43,247.75017225140053,290.33312606451017,2049.5468841074,1185.268973094298,203.76874436949356
