"Monoethanolamine Molar Composition 
[%]","Monoethanolamine Liquidus Temperature 
[K]","Imidazole Molar Composition 
[%]","Imidazole Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,283.46,0.0,0.0,283.46,1953.081080677346,1160.7435032648953,199.31719541710453
0.99,282.9742930663862,0.01,172.03770981367222,282.9742930663862,1958.374086876019,1162.0802616387787,199.55565886298567
0.98,282.4853420392573,0.02,186.85904295383708,282.4853420392573,1963.6421059188162,1163.4091955908366,199.79270775280492
0.97,281.99308885344556,0.03,196.77564745623067,281.99308885344556,1968.8851918407915,1164.7303673685922,200.02835495696667
0.96,281.4974737856208,0.04,204.47489306099624,281.4974737856208,1974.1033151601482,1166.043338137159,200.26260873864044
0.95,280.99843538895107,0.05,210.8747907345989,280.99843538895107,1979.2966751212948,1167.3491357992286,200.49548940240274
0.94,280.4959104244678,0.06,216.40908450065893,280.4959104244678,1984.4652464044925,1168.647339561278,200.72700495836628
0.93,279.98983378892956,0.07,221.32003663135276,279.98983378892956,1989.6090867629018,1169.9380073388324,200.95716751374798
0.92,279.4801384389682,0.08,225.7578705695987,279.4801384389682,1994.7282788932098,1171.2212074172771,201.18599050591817
0.91,278.9667553112811,0.09,229.8227026186208,278.9667553112811,1999.8228594339591,1172.496984454164,201.41348450161695
0.9,278.44961323861816,0.1,233.58488272551978,278.44961323861816,2004.8928655262318,1173.765382023155,201.63966007740729
0.89,277.92863886129277,0.11,237.0958928963781,277.92863886129277,2009.9383834718858,1175.0264655721028,201.86453001912466
0.88,277.4037565339235,0.12,240.39463896849998,277.4037565339235,2014.9594770256515,1176.2802882846972,202.0881058955707
0.87,276.8748882270928,0.13,243.51130096905118,276.8748882270928,2019.9561865602159,1177.5268909334336,202.31039760191396
0.86,276.34195342358373,0.14,246.46980253179703,276.34195342358373,2024.9286026861996,1178.7663364357602,202.53141776913284
0.85,275.80486900882767,0.15,249.28945695633118,275.80486900882767,2029.8767430507567,1179.9986522150227,202.751174486706
0.84,275.2635491551682,0.16,251.9861004957635,275.2635491551682,2034.800725851304,1181.2239111417398,202.96968171849383
0.83,274.71790519951344,0.17,254.5728943703633,274.71790519951344,2039.700596014462,1182.4421505710695,203.18694866844243
0.82,274.1678455139141,0.18,257.0609059533822,274.1678455139141,2044.5763991555602,1183.6534069677343,203.40298437381588
0.81,273.613275368566,0.19,259.45953871257495,273.613275368566,2049.4282638693685,1184.857805239635,203.6178026300231
0.8,273.054096786694,0.2,261.7768560861088,273.054096786694,2054.2561757108815,1186.055243968194,203.83140895743074
0.79,272.4902083907273,0.21,264.01982940971214,272.4902083907273,2059.0602668606657,1187.2458537529292,204.04381679676894
0.78,271.921505239126,0.22,266.19453044448323,271.921505239126,2063.840614353388,1188.4296859102722,204.25503641595822
0.77,271.3478786531618,0.23,268.30628282038975,271.3478786531618,2068.5972427543775,1189.6067535950906,204.46507437568965
0.76,270.769216032895,0.24,270.35978255448737,270.769216032895,2073.3302762791404,1190.7770356815638,204.67394380749226
0.75,270.1854006615214,0.25,272.3591949751942,272.3591949751942,2078.039755049311,1191.9407200064436,204.88165143970244
0.74,269.5963114971874,0.26,274.30823342421706,274.30823342421706,2082.7257806309194,1193.097780760072,205.0882084459067
0.73,269.00182295128866,0.27,276.2102237265811,276.2102237265811,2087.3884357045276,1194.2482607601037,205.2936245043482
0.72,268.40180465217594,0.28,278.0681574308748,278.0681574308748,2092.027804266569,1195.3922000571963,205.49790898637463
0.71,267.7961211930889,0.29,279.88473610460534,279.88473610460534,2096.6439174676225,1196.5296163232656,205.70106754412572
0.7,267.1846318630261,0.3,281.66240844236916,281.66240844236916,2101.236915501945,1197.6605738733476,205.90311313344344
0.69,266.5671903591333,0.31,283.40340155240625,283.40340155240625,2105.806858901858,1198.78510056346,206.10405296306516
0.68,265.9436444790511,0.32,285.1097474922082,285.1097474922082,2110.3538638908094,1199.9032478031781,206.30389815438
0.67,265.3138357915072,0.33,286.7833058998156,286.7833058998156,2114.8779656322163,1201.015030321228,206.50265357811924
0.66,264.6775992832641,0.34,288.4257833956129,288.4257833956129,2119.3792827086013,1202.120498558494,206.70033003738038
0.65,264.03476298033604,0.35,290.0387502964791,290.0387502964791,2123.8578251413846,1203.2188863289464,206.8969359128616
0.64,263.38514754117165,0.36,291.62365508042774,291.62365508042774,2128.313821838323,1204.3118048095625,207.09247862158756
0.63,262.72856581925134,0.37,293.18183695831254,293.18183695831254,2132.747314532638,1205.3985196393453,207.28696831175714
0.62,262.06482239227216,0.38,294.71453684459004,294.71453684459004,2137.1583427069772,1206.479044510315,207.48040928586144
0.61,261.3937130547822,0.39,296.22290696762064,296.22290696762064,2141.5470595009583,1207.5534400754646,207.67281408586962
0.6,260.7150242707732,0.4,297.7080193186522,297.7080193186522,2145.913534659247,1208.621730016244,207.8641888496494
0.59,260.0285325823438,0.41,299.1708731052493,299.1708731052493,2147.225180020693,1208.7060526886698,207.87937724419095
0.58,259.3340039700945,0.42,300.6124013478211,300.6124013478211,2151.4791893277,1209.7400238610003,208.06468921190375
0.57,258.6311931604036,0.43,302.03347673575786,302.03347673575786,2155.7115168760884,1210.7681283664078,208.24900435297488
0.56,257.9198428741525,0.44,303.4349168415163,303.4349168415163,2159.9222935889106,1211.7903502929048,208.43233208885098
0.55,257.19968301080337,0.45,304.81748877599915,304.81748877599915,2164.1116225982432,1212.8067240467708,208.6146802300366
0.54,256.47042976097543,0.46,306.18191335614966,306.18191335614966,2168.2795786309507,1213.8172713377821,208.79605414565893
0.53,255.7317846397958,0.47,307.52886884534,307.52886884534,2172.4262661975886,1214.8220259392858,208.97646149241325
0.52,254.98343343230485,0.48,308.85899431848037,308.85899431848037,2176.551790637111,1215.8210213577136,209.15590977056627
0.51,254.2250450410462,0.49,310.1728926965202,310.1728926965202,2180.656258089979,1216.8142908406585,209.33440641300592
0.5,253.45627022464785,0.5,311.47113348889263,311.47113348889263,2184.739775471318,1217.8018673910117,209.511958822233
0.49,252.67674021466578,0.51,312.7542552772795,312.7542552772795,2188.802450443537,1218.7837837740108,209.68857435299196
0.48,251.8860651961828,0.52,314.02276796968204,314.02276796968204,2192.844391389316,1219.7600725295406,209.86426022221542
0.47,251.0838326355838,0.53,315.2771548500396,315.2771548500396,2196.865677341023,1220.7307534430722,210.03902119524858
0.46,250.26960543651,0.54,316.51787444544414,316.51787444544414,2200.8664177269666,1221.6958585783373,210.21286426531822
0.45,249.44291990216445,0.55,317.74536223025495,317.74536223025495,2204.84675286954,1222.6554323689113,210.3857990680247
0.44,248.60328347881244,0.56,318.96003218406315,318.96003218406315,2208.8067634131476,1223.6094939560837,210.55783048527283
0.43,247.75017225140053,0.57,320.1622782184236,320.1622782184236,2212.746591084825,1224.5580874379657,210.7289668261422
0.42,246.88302815757447,0.58,321.35247548551337,321.35247548551337,2216.666286920876,1225.501218949456,210.8992107372763
0.41,246.00125588086865,0.59,322.5309815803548,322.5309815803548,2220.565993644702,1226.4389322337395,211.06857124327146
0.4,245.10421937726701,0.6,323.6981376469141,323.6981376469141,2224.445824136241,1227.371091593702,211.23705321776893
0.39,244.19123798147209,0.61,324.8542693972347,324.8542693972347,2228.305860916319,1228.2980438638658,211.40466444226732
