"Urea Molar Composition 
[%]","Urea Liquidus Temperature 
[K]","Ethylenediamine Molar Composition 
[%]","Ethylenediamine Liquidus Temperature 
[K]","Solid-Liquid Equilibrium Temperature 
[K]","Adiabatic Flame Temperature 
[K]","Characteristic Velocity 
[m/s]","Specific Impulse 
[s]"
1.0,406.15,0.0,0.0,406.15,1828.6017490721124,1125.851120962806,193.08687839376256
0.99,404.8212482739041,0.01,189.65851548365129,404.8212482739041,1839.7474406339923,1129.4299397703846,193.71830117613283
0.98,403.48780445813867,0.02,199.65526687565674,403.48780445813867,1850.5889296162934,1132.9060486218218,194.33148827809367
0.97,402.1495745640237,0.03,206.00706498961617,402.1495745640237,1861.1377648315581,1136.2838256040316,194.927226747273
0.96,400.8064620018736,0.04,210.76449803094206,400.8064620018736,1871.4049472302138,1139.5666301165218,195.5062574753385
0.95,399.45836748014415,0.05,214.60872919011203,399.45836748014415,1881.4010323392074,1142.7598809974581,196.0692835317794
0.94,398.1051888995586,0.06,217.85536804285132,398.1051888995586,1891.1359595328126,1145.8665120995768,196.6169634966967
0.93,396.7468212419109,0.07,220.67799215017988,396.7468212419109,1900.619297031693,1148.890021786767,197.14992295769213
0.92,395.38315645321296,0.08,223.18285262008837,395.38315645321296,1909.860107001736,1151.833536059263,197.66874966589353
0.91,394.0140833208374,0.09,225.4399734294856,394.0140833208374,1918.8671084574378,1154.7004767438534,198.17400703026735
0.9,392.63948734427385,0.1,227.49807522373564,392.63948734427385,1927.6485603631395,1157.4936408912813,198.66622173377982
0.89,391.25925059909423,0.11,229.3924963826046,391.25925059909423,1936.212423331918,1160.2158486254225,199.14589724873233
0.88,389.87325159368714,0.12,231.14972775447512,389.87325159368714,1944.5662379928197,1162.86974103715,199.61350851952858
0.87,388.4813651182913,0.13,232.7901668154793,388.4813651182913,1952.7172496829367,1165.457738885322,200.069506452837
0.86,387.0834620858189,0.14,234.3298718463234,387.0834620858189,1960.6724265276118,1167.9824645969497,200.51432467704225
0.85,385.6794093639211,0.15,235.78172377804654,385.6794093639211,1968.438403845353,1170.4461052519869,200.94837085524483
0.84,384.2690695977053,0.16,237.15622136807588,384.2690695977053,1976.0214349217583,1172.8503084100983,201.37202819391868
0.83,382.85230102246277,0.17,238.4620408195088,382.85230102246277,1983.4277290904852,1175.1981315157416,201.78567374857482
0.82,381.4289572657185,0.18,239.7064392025819,381.4289572657185,1990.6630939215527,1177.4910901528613,202.1896585894718
0.81,379.9988871378531,0.19,240.89555142546328,379.9988871378531,1997.733082925938,1179.7310499931377,202.5843167452094
0.8,378.5619344104879,0.2,242.03461290126396,378.5619344104879,2004.6430953473512,1181.9198529058167,202.96997099220894
0.79,377.11793758175423,0.21,243.12812924517394,377.11793758175423,2011.3982309600378,1184.0591454555836,203.3469249310106
0.78,375.66672962749277,0.22,244.18000749660428,375.66672962749277,2018.0034627400546,1186.1506122963212,203.71547308263047
0.77,374.2081377373476,0.23,245.19365892290966,374.2081377373476,2024.4634900782842,1188.1958041988905,204.07589212333093
0.76,372.7419830346269,0.24,246.17208051407866,372.7419830346269,2030.7828967886987,1190.1962397850286,204.42845125075416
0.75,371.26808027870345,0.25,247.11792027999778,371.26808027870345,2036.9660141506117,1192.1533376925122,204.77340330388708
0.74,369.7862375486169,0.26,248.0335300822494,369.7862375486169,2043.0170751338367,1194.0684912016634,205.11099472490335
0.73,368.29625590641757,0.27,248.92100876341027,368.29625590641757,2048.9400765969253,1195.9430004697363,205.4414571471755
0.72,366.7979290386569,0.28,249.78223764568122,366.7979290386569,2054.738896152886,1197.7781287720504,205.76501444381364
0.71,365.2910428742786,0.29,250.6189099707287,365.2910428742786,2060.4172991180276,1199.5750836397874,206.08188329630912
0.7,363.7753751770015,0.3,251.43255548624904,363.7753751770015,2065.978836331342,1201.3350515614623,206.39226745901976
0.69,362.2506951100951,0.31,252.22456111305422,362.2506951100951,2071.4269957409165,1203.0591451123837,206.69636681160233
0.68,360.71676277125067,0.32,252.99618842273102,360.71676277125067,2076.765099592557,1204.7484354442852,206.9943706223291
0.67,359.173328695015,0.33,253.74858850156008,359.173328695015,2081.996274493902,1206.4039179755173,207.28645566261096
0.66,357.6201333200029,0.34,254.48281465831067,357.6201333200029,2087.123709194014,1208.0266328579298,207.57280441079183
0.65,356.0569064178179,0.35,255.19983334240695,356.0569064178179,2092.1502634433273,1209.6174788434685,207.85357674528743
0.64,354.4833664802914,0.36,255.90053356804972,354.4833664802914,2097.0789045532383,1211.1774227555954,208.12894199973468
0.63,352.89922006128967,0.37,256.58573508426343,352.89922006128967,2101.9122814120824,1212.7072938292608,208.39904735428573
0.62,351.3041610689405,0.38,257.25619548689565,351.3041610689405,2106.65312300134,1214.207973445374,208.66404727126675
0.61,349.697870003673,0.39,257.9126164336379,349.697870003673,2111.3039919301605,1215.6802775086323,208.92408556317793
0.6,348.08001313695564,0.4,258.5556490951438,348.08001313695564,2115.867324779626,1217.1249753046316,209.17929768015065
0.59,346.4502416250414,0.41,259.1858989527653,346.4502416250414,2120.3455069995625,1218.542824502819,209.42982608296953
0.58,344.80819055137255,0.42,259.8039300351485,344.80819055137255,2124.740876041668,1219.9345720636038,209.67577398600122
0.57,343.15347789056005,0.43,260.41026867103795,343.15347789056005,2129.055654147151,1221.30092270384,209.91729304134856
0.56,341.4857033860074,0.44,261.0054068234334,341.4857033860074,2133.2919522068087,1222.6425377810692,210.15449024515124
0.55,339.8044473322921,0.45,261.58980506020197,339.8044473322921,2137.451843124868,1223.9600735856768,210.38748068625668
0.54,338.109269252321,0.46,262.16389520793655,338.109269252321,2141.537309806162,1225.2533747977577,210.6163796064484
0.53,336.39970645802384,0.47,262.728082728951,336.39970645802384,2145.5503601930714,1226.5246248637675,210.84128814569638
0.52,334.6752724819119,0.48,263.2827488555406,334.6752724819119,2149.492846098673,1227.773578733701,211.06231331575003
0.51,332.93545536517615,0.49,263.8282525108095,332.93545536517615,2153.3665412448267,1229.0009218136051,211.27955350373892
0.5,331.1797157860944,0.5,264.364932041308,331.1797157860944,2157.1732286903607,1230.2071565395697,211.49310722807985
0.49,329.40748501031516,0.51,264.89310678329394,329.40748501031516,2160.9145655123734,1231.3927995199188,211.70306486849967
0.48,327.61816264203367,0.52,265.41307848152763,327.61816264203367,2164.5921882654134,1232.5583658771463,211.90951634127842
0.47,325.81111415210745,0.53,265.9251325770404,325.81111415210745,2168.2077145201583,1233.7043695929267,212.11255481133975
0.46,323.98566815570166,0.54,266.4295393782103,323.98566815570166,2171.7626768051714,1234.8312925062685,212.31225513262032
0.45,322.141113408006,0.55,266.9265551276742,322.141113408006,2175.2585251933783,1235.9395853275475,212.5087051015853
0.44,320.27669548181797,0.56,267.4164229760595,320.27669548181797,2178.6966967918056,1237.029699654306,212.7019804254221
0.43,318.3916130851979,0.57,267.89937387218373,318.3916130851979,2182.07861690237,1238.1020881991117,212.89216038243686
0.42,316.4850139707931,0.58,268.37562737822395,316.4850139707931,2185.4056336273443,1239.1571742413491,213.0793187179367
0.41,314.5559903805969,0.59,268.84539241735683,314.5559903805969,2188.678987040558,1240.195337228697,213.26352121577582
0.4,312.6035739605811,0.6,269.308867960511,312.6035739605811,2191.900042877285,1241.2170206082294,213.4448458897128
0.39,310.62673006848684,0.61,269.7662436581175,310.62673006848684,2195.069929492244,1242.222563776689,213.62335105104194
0.38,308.62435138467976,0.62,270.21770042208954,308.62435138467976,2198.189935781256,1243.212385748853,213.7991105959942
0.37,306.59525071983,0.63,270.66341096269053,306.59525071983,2201.261117614184,1244.1868032504262,213.97217880079054
0.36,304.5381528936253,0.64,271.1035402844437,304.5381528936253,2204.2846600807443,1245.146197691387,214.14262260730897
0.35,302.45168553492135,0.65,271.5382461447974,302.45168553492135,2207.2616492060165,1246.090909664211,214.31050144824727
0.34,300.3343686245975,0.66,271.9676794788731,300.3343686245975,2210.193106651295,1247.0210857531604,214.4758679790902
0.33,298.1846025665435,0.67,272.39198479327507,298.1846025665435,2213.080087728044,1247.9373958937085,214.63878456691793
0.32,296.0006545278421,0.68,272.8113005316453,296.0006545278421,2217.775865439305,1249.4456451654012,214.90852838429063
0.31,293.7806427339774,0.69,273.2257594143733,293.7806427339774,2220.5162104835476,1250.315089862447,215.06317563713142
0.3,291.52251833569096,0.7,273.63548875463545,291.52251833569096,2223.215179421093,1251.1714699608265,215.2155375279015
0.29,289.2240443767783,0.71,274.0406107527274,289.2240443767783,2225.8736078361026,1252.0144573041873,215.36565942850638
0.28,286.8827712811383,0.72,274.4412427704635,286.8827712811383,2228.4924839815703,1252.845530864056,215.51359461078385
0.27,284.4960081352494,0.73,274.83749758725105,284.4960081352494,2231.072593311834,1253.664353934892,215.6593855756091
0.26,282.0607888586917,0.74,275.2294836392966,282.0607888586917,2233.6147981116474,1254.4712016290175,215.80308063592463
0.25,279.5738321162111,0.75,275.6173052432676,279.5738321162111,2236.1198749008854,1255.2663131384609,215.94472084161234
0.24,277.0314935103299,0.76,276.0010628056134,277.0314935103299,2238.5886399959927,1256.0499491399507,216.08435198818276
0.23,274.4297081756961,0.77,276.38085301864044,276.38085301864044,2241.021826007696,1256.8223351488546,216.22201277317086
0.22,271.763921335168,0.78,276.7567690443408,276.7567690443408,2243.4202063333455,1257.5837183696935,216.3577465691431
0.21,269.02900361488435,0.79,277.1289006868863,277.1289006868863,2245.784472600323,1258.33431155466,216.4915899499177
0.2,266.2191468655334,0.8,277.4973345546211,277.4973345546211,2248.1153581006497,1259.0743493227078,216.62358397881414
0.19,263.32773477118377,0.81,277.8621542123141,277.8621542123141,2250.41348592304,1259.8040187075874,216.75376053888488
